School Name,Equity Score,Students Changing Schools,Who Is Impacted,Geography Score,Walkability,Hazards,Transportation,School Proximity,Building Functionality Score,ADA Compliance,Gym Cafeteria Separation,Teaching Stations,Income Score,Income Potential,Costs Score,Capital Expense,Operating Cost,Total Score
Dawes,3.9,2.9,4.8,2.4,2.4,,,,2.4,5,1,1.3,5,5,4.2,4,4.4,3.3
Dewey,4.2,4.2,4.3,1,1,,,,3.9,3.7,5,3,4.6,4.6,3.8,3.9,3.7,3.1
King Arts,4.8,5,4.6,2.7,2.7,,,,5,5,5,5,3.4,3.4,1,1,1,3.2
Kingsley,1.1,1,1.1,1,1,,,,2.6,5,1,1.7,2.1,2.1,3.7,3.5,3.9,1.9
Lincoln,4.5,4.8,4.3,2.9,2.9,,,,4.7,5,5,4,1,1,3.1,3.4,2.9,3.4
Lincolnwood,1,1,1,1.1,1.1,,,,1.1,1,1,1.3,4.3,4.3,4.3,3.9,4.8,2.1
Oakton,4.8,4.6,5,1.7,1.7,,,,3.2,1,5,3.7,1.6,1.6,2.5,1.6,3.5,2.8
Orrington,2.2,2.1,2.4,5,5,,,,1.2,1,1,1.7,4,4,5,5,5,3.7
Walker,3.8,4,3.6,3.8,3.8,,,,2.8,2.3,5,1,4.1,4.1,4.5,4.4,4.6,3.8
Washington,4.2,4.5,3.8,1.5,1.5,,,,3.9,3.7,5,3,3.4,3.4,1.8,1.9,1.7,2.7
Willard,1.7,1.8,1.5,2.7,2.7,,,,4.3,5,5,3,3.2,3.2,4.1,4.4,3.8,3.1
