School,Rec,FIN High ($M),FIN High ($M),Feasibility (1-10),Developer Sentiment (1-10),Comp. Score
Bessie Rhodes,Sell,3.5,4.5,6.4,6,5.9
Dawes,Sell,2,3,5.2,6,5.1
Dewey,Sell,4,5,5.5,6,5.5
King Arts,Sell,4.5,5.5,7.3,2,6.5
Kingsley,Sell,4.5,5.5,7.8,10,7.7
Lincoln,Re-Use,9,10,7.6,10,8.7
Lincolnwood,Sell,4,5,6.4,6,5.7
Oakton,Re-use,7.5,8.5,6.5,6,8.2
Orrington,Re-use,5,6,5.6,4,6
Park School,Sell,2.5,3.5,7.2,10,6.8
Walker,Re-Use,8,9,5.1,4,5.9
Washington,Sell,5.5,6.5,6.5,1,6.5
Willard,Re-use,8,9,5.8,4,6.7
